User ID,encoded_0,encoded_1,encoded_2,encoded_3,encoded_4,encoded_5,encoded_6,encoded_7,encoded_8,encoded_9
1624,17.944302,-57.88253,-20.477957,77.47433,65.88934,-190.02795,35.934593,36.833286,8.671744,4.8812604
1626,17.913013,-101.852394,-20.963814,137.5147,118.95984,-296.8167,58.34656,63.493576,25.99689,22.664928
1630,20.878887,-84.45423,-24.028002,113.4347,97.336395,-262.70615,50.508125,53.30238,16.783882,12.515983
1632,16.410963,-102.122375,-19.379913,138.01274,119.51831,-293.2358,57.920452,63.383156,27.283356,24.323196
1634,12.667642,-62.2919,-14.729937,83.94338,72.34054,-186.27374,36.303905,39.04318,14.5365505,12.028306
1635,13.704667,-70.18444,-15.989211,94.60868,81.65489,-208.26495,40.71859,43.906773,16.841412,14.178056
1637,36.346058,-84.40448,-40.965065,112.15784,93.651344,-303.21567,55.82449,54.44904,4.6594944,-2.972719
1639,33.565594,-3.8690248,-34.85255,3.369142,-2.0927713,-87.2696,11.378957,4.901167,-23.255451,-29.506985
1641,25.742216,-28.33889,-28.53029,37.16735,28.540905,-135.38922,23.14309,19.560715,-8.460184,-14.188893
1646,31.0259,-80.383965,-35.185104,107.17157,90.07032,-280.0133,51.954075,51.62586,7.215795,0.66907716
1648,19.256182,-10.782639,-20.90001,13.490358,9.134395,-74.07637,11.641451,8.351013,-10.322504,-14.2092495
1649,32.34284,-94.72707,-36.900436,126.57443,107.216515,-319.0622,59.827312,60.539776,11.75196,4.9149184
1650,24.940529,3.4643583,-24.694818,-5.197796,-9.383389,-48.2014,5.5800776,-0.83525705,-18.48671,-23.268528
1653,24.08412,-3.0195975,-25.056744,2.6912336,-1.2640703,-63.25072,8.289607,3.6855235,-16.635326,-21.116444
1654,21.843502,-94.05948,-25.175037,126.44861,108.65672,-288.75223,55.787918,59.24449,19.796997,15.376967
1655,28.90301,-71.844444,-32.719353,95.66297,80.21074,-253.13628,46.843323,46.185894,5.532864,-0.56172776
1656,33.74821,-22.416185,-36.89087,28.536934,20.153585,-139.69664,22.391148,16.888443,-16.741295,-23.80678
1657,34.94209,-54.412067,-38.874172,71.9976,57.940727,-224.19038,39.83204,36.09051,-5.418423,-13.148885
1658,28.668852,-36.843475,-31.821573,48.617138,38.144825,-164.30104,28.584127,24.956408,-7.4009366,-13.8292055
1660,30.24493,-67.21959,-34.060833,89.30969,74.35331,-244.8012,44.966805,43.38894,2.7445755,-3.6241357
1661,33.733982,-70.03584,-37.81323,92.823105,76.89252,-260.39777,47.544437,45.436356,1.1977671,-5.951027
1662,31.480476,-85.515015,-35.742306,114.08187,96.209305,-293.85077,54.78783,54.805832,8.858031,2.2353513
1663,24.140274,-49.750664,-27.049501,66.03695,54.632835,-185.53319,33.856373,32.283325,0.7353141,-4.4281874
1665,34.040874,-30.93177,-37.571766,40.204315,30.061182,-162.3655,27.051151,21.945358,-13.682929,-21.140976
1666,30.889507,-18.893187,-33.66973,23.765783,16.463654,-123.263565,19.571672,14.45901,-16.0056,-22.366753
1668,36.90015,-85.55454,-41.603622,113.730286,94.94212,-307.57083,56.635544,55.176266,4.694903,-3.0723398
1669,11.665914,-13.033755,-12.952913,17.127472,13.137231,-61.888245,10.577198,8.975138,-3.750105,-6.3729486
1670,25.313782,-14.175165,-27.410923,17.693966,11.987309,-97.40322,15.295934,11.053338,-13.564729,-18.724693
1671,21.457733,-59.225582,-24.395899,79.0108,66.64366,-202.64255,37.83113,37.91057,6.3973956,1.8959563
1672,20.755579,-1.8347603,-21.486265,1.384007,-2.0079956,-52.484898,6.743697,2.6089737,-14.479942,-18.412271
1673,15.845603,-97.437836,-18.683397,131.67592,114.04932,-280.37943,55.330635,60.516808,25.910946,22.995571
1675,27.696058,-72.878044,-31.406092,97.15819,81.81822,-252.62651,46.972004,46.77152,6.8760204,1.0362606
1676,18.539478,-33.59899,-20.716272,44.47346,36.37799,-130.83969,23.585781,21.970043,-1.1506205,-5.214098
1677,24.032574,8.477687,-22.922638,-11.302261,-15.701247,-33.53996,2.5832381,-3.8897493,-19.05686,-21.939926
1678,32.869354,-79.93442,-37.15533,106.36564,89.09185,-283.4036,52.361416,51.446236,5.598692,-1.3540556
1679,34.377136,-55.012054,-38.207607,72.809715,58.76402,-224.20795,39.95147,36.45224,-4.769348,-12.322941
1684,26.469158,-43.268448,-29.461937,57.20853,46.28457,-174.86656,31.225662,28.58556,-3.348436,-9.166074
1685,16.258188,-53.229992,-18.65473,71.265076,60.69493,-174.19553,32.957428,33.8562,8.122809,4.662138
1686,16.747225,-37.425518,-18.871513,49.70182,41.40273,-136.04103,24.994635,24.205828,1.5810621,-1.969308
1689,18.581059,7.053371,-17.542343,-9.413041,-12.788904,-24.607214,1.6893827,-3.3607717,-14.756362,-16.75991
1691,31.559284,-52.767876,-35.165047,69.84789,56.651794,-211.56528,37.86991,34.788784,-3.5440087,-10.478991
1692,33.96736,-12.509143,-36.180164,14.834962,8.387586,-112.43981,16.467316,10.821155,-20.543081,-27.16189
1693,33.414387,-1.3607459,-34.30338,0.10136551,-5.244645,-80.18315,10.059797,3.1813488,-23.804987,-30.06743
1696,25.852526,-52.04498,-29.007704,68.987595,56.965366,-195.58336,35.623913,33.788162,0.33536872,-5.137347
1697,34.200104,-42.234566,-38.01276,55.621094,43.496407,-191.69844,33.236454,28.748688,-9.525341,-17.210451
1698,17.470999,-107.63325,-20.685635,145.47516,126.01335,-309.5815,61.139385,66.78413,28.611246,25.470493
1700,36.07188,-63.609802,-40.213078,84.24894,68.711555,-250.17268,44.99023,41.753944,-2.84374,-10.686258
1701,14.510109,-5.2523365,-15.438038,6.217071,3.483511,-47.676403,7.005893,4.558892,-8.816014,-11.63808
1702,26.088564,-19.57677,-28.676046,25.159914,18.17953,-113.86493,18.517557,14.347266,-12.071644,-17.61005
1703,23.288591,-18.611708,-25.677265,23.93693,17.54133,-104.56898,17.10607,13.51055,-10.371331,-15.397206
1705,20.746199,-26.956167,-23.062346,35.566395,27.959183,-119.666245,20.84009,18.194159,-5.2600865,-9.921417
1708,17.954924,6.614646,-17.017939,-8.81507,-12.112537,-24.348778,1.7703749,-3.103977,-14.243372,-16.292982
1712,16.411888,-77.18853,-19.009449,103.90112,89.47536,-232.77188,45.24808,48.4611,17.44366,14.179267
1716,19.637018,-40.764336,-22.062473,54.081886,44.779266,-151.6324,27.677086,26.409262,0.6932589,-3.4928014
1717,27.989872,-5.965657,-29.38525,6.347786,1.550468,-80.21223,10.8967285,6.0235248,-18.593573,-23.75128
1720,13.807686,-102.70764,-16.55105,138.9293,120.73499,-286.67752,56.960876,63.211357,29.86991,27.339079
1721,35.117542,-86.281525,-39.625244,114.871574,96.26419,-304.83554,56.432438,55.50152,6.379352,-0.95058036
1722,17.993809,-32.924995,-20.092287,43.5261,35.644238,-127.65064,23.034283,21.531225,-1.0072161,-4.896652
1723,14.646915,-21.896265,-16.24009,28.927288,23.147537,-91.46463,16.2265,14.570002,-2.5972972,-5.78189
1725,34.073456,-6.9292064,-35.762325,7.2818093,1.4269676,-96.81378,13.103954,7.067243,-22.753721,-29.04874
1726,22.994009,-48.219887,-25.84897,63.91544,52.9618,-178.82503,32.641888,31.25836,0.98076236,-3.9033194
1727,11.546198,-6.779018,-12.546026,8.556671,5.859262,-45.334682,7.132682,5.2464585,-6.0632863,-8.448913
1728,16.196095,-36.49404,-18.224274,48.563393,40.424297,-132.31473,24.32786,23.53324,1.6744889,-1.7557262
1729,23.29864,4.560939,-22.849813,-6.2777386,-10.35375,-41.88322,4.635592,-1.5037535,-17.570738,-21.860416
1730,29.66005,-15.551119,-32.041077,19.267466,12.777832,-111.15371,17.252031,12.281163,-16.256495,-22.218811
1732,15.14838,-110.096725,-18.082315,148.91939,129.34987,-308.25296,61.21045,67.82082,31.678509,28.954617
1733,30.355066,-11.942706,-32.388157,14.319336,8.408975,-102.597115,15.17808,10.190732,-18.079298,-23.98013
1734,35.188534,-34.416687,-38.94523,44.92942,33.894863,-174.16112,29.243507,24.208939,-13.25648,-20.981403
1737,16.077166,-63.38746,-18.47138,85.13099,72.975075,-198.3575,38.0169,40.069023,12.276374,8.925888
1739,21.81419,-4.8607426,-22.897644,5.280052,1.5033928,-63.2151,8.617609,4.8218436,-14.386454,-18.438656
1740,12.83288,-83.44026,-15.174615,112.81186,97.76539,-237.7341,47.077156,51.66907,22.76776,20.483334
1744,20.869678,-34.45727,-23.218933,45.612934,36.969357,-138.69649,24.821774,22.733208,-2.4769053,-7.0351186
1745,25.478838,-65.483315,-28.863556,87.29547,73.34665,-228.52884,42.448063,42.00878,5.721391,0.35469556
1746,37.9458,-35.29726,-41.937584,45.924652,34.356495,-183.12343,30.567448,24.958572,-14.952846,-23.230034
1747,23.77047,8.708754,-22.576817,-11.570515,-15.902479,-32.38496,2.3926103,-4.053076,-18.86946,-21.59288
1748,35.442863,-71.73175,-39.706642,95.123505,78.600746,-269.0925,49.00402,46.633762,0.5890764,-6.946783
1749,14.421705,-57.98139,-16.644506,77.953575,66.8503,-180.6893,34.75279,36.54431,11.476462,8.531432
1750,33.77359,-65.45836,-37.762283,86.69842,71.35401,-249.01932,45.22959,42.622784,-0.49865425,-7.694622
1752,23.502552,-71.56756,-26.80951,95.69668,81.20236,-238.55336,44.884735,45.6882,9.644678,4.6650343
1755,10.499016,-65.99854,-12.428998,89.15756,77.23237,-189.17719,37.38863,40.882847,17.67238,15.739802
1757,12.320011,-17.148615,-13.676371,22.637047,17.936562,-73.827965,12.952309,11.51024,-2.6752148,-5.426675
1759,35.92969,-44.32375,-39.941746,58.322205,45.54173,-201.28389,34.83298,30.182018,-10.043322,-18.08646
1760,21.200394,-105.28264,-24.571766,141.88779,122.35726,-314.01978,61.281788,65.978424,24.759886,20.639984
1761,36.40265,-21.782576,-39.60544,27.362286,18.869526,-143.94376,22.822407,16.775486,-19.038147,-26.479492
1763,29.287003,-56.237984,-32.74364,74.50355,61.28574,-214.5821,38.933167,36.599342,-0.6328249,-6.93933
1764,20.119879,-63.887794,-23.014027,85.45683,72.67096,-210.62007,39.745377,40.696346,9.256918,4.9787016
1765,37.19416,-64.686424,-41.48,85.6672,69.80867,-255.66965,45.96693,42.48387,-3.2455273,-11.359783
1766,27.970867,0.009046068,-28.561687,-1.3309306,-5.935197,-64.0698,7.933832,1.7345246,-20.200684,-25.506912
1769,19.681973,-29.069872,-21.900301,38.461674,30.742113,-122.35706,21.60479,19.359657,-3.6472785,-8.027535
1770,19.02723,-40.63721,-21.411554,53.941296,44.773945,-149.87413,27.439125,26.280294,1.096686,-2.95938
1771,23.001318,-47.897995,-25.81847,63.519444,52.64768,-177.99184,32.520603,31.097557,0.8644993,-4.029789
1773,27.103518,-18.217962,-29.688713,23.208113,16.450077,-112.78063,18.104994,13.673992,-13.3905115,-19.05458
1774,28.979593,-70.04948,-32.686565,93.23254,78.02941,-248.69664,45.93922,45.113613,4.8024826,-1.2909553
1775,22.94721,5.619812,-22.364414,-7.6187553,-11.727389,-38.23738,3.9777148,-2.1373348,-17.644651,-21.61775
1776,16.869732,-27.419298,-18.772602,36.341057,29.330177,-111.11403,19.848255,18.068962,-2.1574562,-5.8524933
1777,36.06338,-55.417007,-40.119194,73.294266,58.869884,-229.61357,40.719707,36.848663,-5.866656,-13.836851
1779,13.801778,-60.4496,-15.900146,81.2568,69.85609,-184.79893,35.74427,38.031456,12.903058,10.117925
1781,16.33974,-91.25648,-19.124521,123.1532,106.45761,-266.78302,52.371784,56.9219,23.060507,19.990694
