User ID,encoded_0,encoded_1,encoded_2,encoded_3,encoded_4,encoded_5,encoded_6,encoded_7,encoded_8,encoded_9
41,0.2576772,-0.3658945,-0.09377722,0.5050994,0.64085627,-0.29964423,0.45111278,-0.65695345,0.36765128,-0.55271876
46,0.5583448,-0.67861444,-0.15446088,0.46189368,0.3341188,0.615721,0.5225603,0.23123415,-0.597822,0.59146214
48,0.88494354,0.23932606,-1.0636144,-0.87086004,0.08958805,-0.51346844,0.06416252,-0.35150114,-0.57520336,0.46281993
51,-0.021717554,0.6081559,-0.032699287,-0.32759237,-0.026396384,-0.018152205,1.320489,-0.097642824,0.34105742,-0.27279145
52,0.13931398,-0.5167043,-0.79772156,1.2199934,0.085298225,-1.0273305,0.1738816,0.12937494,-0.67284584,-0.31140628
53,0.039287772,-1.1600133,0.279483,-0.16690777,0.7224416,-0.48641053,0.23141095,0.10639459,-0.3188412,-0.7165388
54,-0.12072493,-0.23879547,-0.23400384,-0.7772493,0.07142886,-0.662886,0.15757662,0.53127897,-1.0199164,1.1899284
56,-0.06065044,0.5953176,0.31891897,-0.81328005,0.37661472,-0.89323,-0.9106262,0.27261642,-0.8290916,-0.38748267
59,0.028832713,0.5921509,0.1978118,-0.2438731,0.063771494,1.3974183,-0.31466636,0.35695887,-0.43187684,-0.4572201
61,-0.17868726,0.023155559,-0.44642583,-0.48775166,0.23776491,0.7148336,-1.2169098,0.6926247,0.06686579,-0.19344552
64,-0.08724827,0.58542603,0.13927616,-0.24026926,0.8469187,0.19997801,-1.1540124,0.42755425,-0.7662965,-0.6099142
65,-0.35787708,-0.11457973,-0.11608873,-0.61310214,-0.21635924,-0.9404721,-0.49471563,1.1706342,0.03597882,0.72206885
66,0.2612291,0.168655,-0.021389665,0.13835724,0.4348833,-0.4926449,-0.7606856,0.28863516,-0.8773669,-1.2769991
68,-0.26811728,0.48252288,-0.60607606,0.64400643,0.8181315,-0.8506604,0.2493547,-0.07939977,-0.10297136,-0.94629645
69,-0.013985182,-0.38929987,0.2289719,-0.4881262,0.6561497,0.5393345,-1.1225125,0.115210496,-0.8403332,-0.4753484
70,0.050695393,0.67990184,0.4120726,-0.08163808,0.74186856,0.4549115,-1.0388342,0.24701238,-0.5029597,-0.6048625
72,-0.25193208,0.5685308,-0.66364175,-0.38291132,-0.112969205,-0.54555184,1.405188,0.28518626,-0.14390917,-0.39635167
74,-0.6650839,-0.46627355,-0.8071827,-0.59060866,1.0071304,0.73865587,0.18486647,0.22365479,-0.7740125,0.2455516
75,-0.47168124,-0.61387426,0.3337261,0.27897358,0.5878079,0.069443636,-0.59970087,0.7800299,-1.0441685,0.21780124
77,-1.1250464,0.36077794,-0.1630409,-0.1466079,1.1179945,-0.08647299,-0.32281086,0.51403725,-0.87104505,-0.8689722
78,-0.14691812,-0.0054172976,-0.095538594,-0.617614,-0.24676628,-0.42980102,0.38795882,0.2025592,-1.0302702,1.0171312
79,0.30184212,1.1636966,0.40233484,0.3231246,0.07878506,-0.82289726,0.17408232,0.08075249,-0.067382686,0.0888259
80,0.010093973,0.76637864,-0.23907892,0.22988182,-0.49298024,-0.37879086,1.0877097,0.5637057,-0.27460712,0.17629382
